                                                                                                    Category       Product Name                                                                                                  Description                                                                                                                                                                                  Uses                                                                                                                                                                             Advantages
                                                                                             Floor Hardeners      YP Floor HD M                                                     Metallic Monolithic Surface Hardener for Concrete Floors                                                                                 Heavy-duty floors in foundries and steel plants\nHigh-impact zones like loading docks and truck lanes                                                                                            Superior abrasion and impact resistance\nMetallic finish withstands extreme wear conditions
                                                                                             Floor Hardeners     YP Floor HD NM                                                 Non-Metallic Monolithic Surface Hardener for Concrete Floors                                                           Heavy-duty industrial floors like workshops and machine shops.\nHigh-traffic zones such as loading bays and trucking lanes.                                                                                                  Provides a hard, abrasion resistant surface\nForms monolithic bond with base concrete
                                                                                                Micro Silica    YP Micro Silica                                                                                        Densified Silica Fume                                                                                                              High-strength concrete\nWaterproof structures like tunnels and basements                                                                                   Increases strength and durability of concrete\nReduces permeability and improves chemical resistance
                                                                                          Structural Bonding         YP Bond EP                                                                           Epoxy resin concrete bonding agent                                                                                                               Bonds old concrete to new concrete\nUsed in structural concrete repairs                                                         Allows longer concrete placement without risk of delamination.\nProvides bond strength higher than concrete’s tensile strength
                                                                                          Structural Bonding       Yahska SBA25                                                         Segmental bridge adhesive for use at +25°C to +45°C                                                                                                                                                          Segmental bridge construction                                                                                          Provides a watertight joint between segments\nTransfers the loading stresses between segments
                                                                                          Structural Bonding         YP SBR 100                            Water resistant, styrene butadiene rubber based bonding agent and mortar additive                                                                                            Bonding agent for concrete and plaster repair\nModifier for waterproof screeds and mortars                                                                                                       Improves bond strength and flexibility\nEnhances water resistance and durability
                                                                                         Corrosion Inhibitor        AntiCorr FG                                                              Bipolar corrosion inhibiting concrete admixture                                                                        Extends life of reinforced concrete in corrosive environments\nUsed in repair and protection of RCC structures                                                                            Protects both anodic and cathodic zones of rebar\nReduces corrosion without increasing concrete resistivity
                                                                                         Corrosion Inhibitor        AntiCorr CN                                                             Corrosion Inhibiting Admixture based on Nitrite                                                                    Added to new concrete for corrosion protection of steel\nIdeal for marine, coastal, and chloride-exposed structures                                                                                Forms protective layer on steel reinforcement\nMinimizes corrosion from chlorides and aggressive agents
                                                                                         Mould Release Agent              MR50w                                                           New generation water emulsion mould release agent                                                                                 Provides easy, stain-free release for concrete molds.​\nSuitable for all types of molds and formwork.​                                                                                Non-staining formula eliminates unsightly oil marks.​\nConcentrated, water-based solution reduces cost.
                                                                                         Mould Release Agent              MR100                                                 High performance environmental friendly\nmould release agent                                                                           Facilitates clean stripping of various formwork types.​\nEnsures high-quality, fair-faced concrete finishes                                                                                  Minimizes surface blemishes and staining on concrete.​\nReduces cleaning time between formwork reuses
                                                                                                       Other         YP CP Lube                                                                                             Pump Priming Aid                                                                                                                                             Pumping of Standard concrete & shotcretes                                                                                                Economical compared to use of cement slurry.\nNo adverse effect on concrete set time.\n
                                                                                                       Other YP Polysulphide PG                                                                Two component pour grade Polysulphide sealant                                                                                                         Precast concrete elements\nRigid pavements of highways, airport runways,\netc                                                                                               Excellent adhesion with most common construction\nmaterials\nHigh movement accommodation
                                                                                                       Other          YP DF 100                                                                            Soil Stabilization Powder Polymer                                                                                                                            Horizontal Directional Drilling (HDD), Piling, D-Wall, etc                                                         Strengthens the bore by increasing cohesiveness in loose particles \nControls the fluid loss, thus reducing the overall cost\n
                                                                                                       Other    YP TileMaster V                                             Cementitious, polymer based general purpose tile fixing adhesive                                                                       Fixing ceramic and vitrified tiles on floors and walls\nTiling on internal surfaces like kitchens and bathrooms                                                                                     Strong bond with vertical and horizontal surfaces\nEasy mixing and application with good open time
                                                                                                         NaN                NaN                                                                                                          NaN                                                                                                                                                                                   NaN                                                                                                                                                                                    NaN
                                                                                                         NaN                NaN                                                                                                          NaN                                                                                                                                                                                   NaN                                                                                                                                                                                    NaN
                                                                                                         NaN                NaN                                                                                                          NaN                                                                                                                                                                                   NaN                                                                                                                                                                                    NaN
                                                                            For Letterhead & Business Cards:                NaN                                                                                                          NaN                                                                                                                                                                                   NaN                                                                                                                                                                                    NaN
• Admixtures • Curing Compound • Segmental Glue • Crystalline • Micro Silica • Grouts • Accelerator • Others                NaN                                                                                                          NaN                                                                                                                                                                                   NaN                                                                                                                                                                                    NaN
